epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.327,1.43584,4.55532,0.97547,0.04698,0.18175,0.04198,0.03311,0.80116,2.9281,0.82307,5.95985e-05,5.95985e-05,5.95985e-05
2,446.507,0.99361,3.09127,0.85578,0.14036,0.37271,0.14513,0.11894,0.68446,2.37803,0.81031,6.02289e-05,6.02289e-05,6.02289e-05
